open,high,low,close,volume,vwap,timestamp,transactions,otc
173.16,173.21,171.47,172.07,37264259.0,172.1109,1684123200000,444785,
171.99,173.1383,171.7991,172.07,42110293.0,172.2781,1684209600000,436165,
171.71,172.925,170.4201,172.69,57934404.0,171.85,1684296000000,554940,
173.0,175.24,172.58,175.05,65496657.0,174.3014,1684382400000,595692,
176.39,176.39,174.94,175.16,55525641.0,175.5191,1684468800000,532731,
173.98,174.71,173.45,174.2,43570932.0,174.1828,1684728000000,526393,
173.13,173.3794,171.275,171.56,50745163.0,172.1908,1684814400000,535091,
171.09,172.4183,170.52,171.84,43711588.0,171.5088,1684900800000,492275,
172.41,173.895,171.69,172.99,55889523.0,172.8818,1684987200000,534909,
173.32,175.77,173.11,175.43,54834975.0,175.1454,1685073600000,529918,
176.96,178.99,176.57,177.3,55963954.0,177.4489,1685419200000,651318,
177.325,179.35,176.76,177.25,99625288.0,177.9376,1685505600000,669221,
177.7,180.12,176.9306,180.09,68901712.0,179.3796,1685592000000,624132,
181.03,181.78,179.26,180.95,61996852.0,180.6479,1685678400000,617235,
182.63,184.951,178.035,179.58,121722517.0,182.1408,1685937600000,1286180,
179.965,180.12,177.43,179.21,64845314.0,178.7093,1686024000000,705164,
178.44,181.21,177.32,177.82,61944615.0,178.6619,1686110400000,669062,
177.895,180.84,177.46,180.57,50210681.0,179.5493,1686196800000,548456,
181.5,182.23,180.63,180.96,48869360.0,181.4395,1686283200000,557894,
181.27,183.89,180.97,183.79,54754995.0,182.836,1686542400000,562058,
182.8,184.15,182.44,183.31,54867129.0,183.1702,1686628800000,608337,
183.37,184.39,182.02,183.95,57462782.0,183.7101,1686715200000,614097,
183.96,186.52,183.78,186.01,65433166.0,185.5672,1686801600000,697003,
186.73,186.99,184.27,184.92,101151225.0,185.4644,1686888000000,616272,
184.41,186.1,184.41,185.01,49799092.0,185.2709,1687233600000,577495,
184.9,185.41,182.5901,183.96,49515697.0,184.0809,1687320000000,520855,
183.74,187.045,183.67,187.0,51245327.0,186.1166,1687406400000,563076,
185.55,187.56,185.01,186.68,53112346.0,186.4952,1687492800000,539704,
186.83,188.05,185.23,185.27,48088661.0,186.3292,1687752000000,584497,
185.89,188.39,185.67,188.06,50730846.0,187.4998,1687838400000,511866,
187.93,189.9,187.6,189.25,51216801.0,188.8916,1687924800000,559145,
189.08,190.07,188.94,189.59,46347308.0,189.5561,1688011200000,525367,
191.63,194.48,191.26,193.97,85068452.0,193.102,1688097600000,774380,
193.78,193.88,191.76,192.46,31458198.0,192.6624,1688356800000,500175,
191.565,192.98,190.62,191.33,46896861.0,191.5803,1688529600000,560170,
189.84,192.02,189.2,191.81,45155523.0,190.8214,1688616000000,562755,
191.41,192.67,190.24,190.68,46757498.0,191.4218,1688702400000,538826,
189.26,189.99,187.035,188.61,59912163.0,188.3628,1688961600000,736912,
189.16,189.3,186.6,188.08,46638119.0,187.8219,1689048000000,577717,
189.68,191.7,188.47,189.77,60750218.0,189.9586,1689134400000,652126,
190.5,191.19,189.78,190.54,41337338.0,190.565,1689220800000,467952,
190.23,191.1799,189.63,190.69,41616242.0,190.4662,1689307200000,513233,
191.9,194.32,191.81,193.99,50520159.0,193.2997,1689566400000,602852,
193.35,194.33,192.415,193.73,48153774.0,193.3846,1689652800000,544605,
193.1,198.23,192.65,195.1,80492323.0,194.9188,1689739200000,776766,
195.09,196.47,192.495,193.13,59581196.0,194.276,1689825600000,639817,
194.1,194.97,191.23,191.94,71451683.0,192.5948,1689912000000,580360,
193.41,194.91,192.25,192.75,45345097.0,193.2018,1690171200000,525853,
193.33,194.44,192.915,193.62,37283201.0,193.804,1690257600000,445394,
193.67,195.64,193.32,194.5,47471868.0,194.3737,1690344000000,502309,
196.02,197.2,192.55,193.22,47439680.0,194.8773,1690430400000,570472,
194.67,196.626,194.14,195.83,47691443.0,195.8075,1690516800000,519151,
196.06,196.49,195.26,196.45,38824113.0,196.1507,1690776000000,530506,
196.235,196.73,195.28,195.605,35281426.0,195.8486,1690862400000,477616,
195.04,195.18,191.8507,192.58,50388811.0,192.9395,1690948800000,620582,
191.57,192.37,190.69,191.17,62243282.0,191.1312,1691035200000,754703,
185.52,187.38,181.92,181.99,115956841.0,184.279,1691121600000,1336765,
182.13,183.13,177.35,178.85,97105069.0,179.0119,1691380800000,1159281,
179.69,180.27,177.58,179.8,67769003.0,178.9854,1691467200000,709019,
180.87,180.93,177.01,178.19,60303492.0,178.4887,1691553600000,666112,
179.48,180.75,177.6,177.97,54686851.0,178.7951,1691640000000,652995,
177.32,178.62,176.55,177.79,51036672.0,177.8056,1691726400000,586481,
177.97,179.69,177.305,179.46,43675627.0,178.9475,1691985600000,564982,
178.88,179.48,177.05,177.45,43574863.0,177.9886,1692072000000,510071,
177.13,178.54,176.5,176.57,45712957.0,177.4133,1692158400000,526074,
177.14,177.5054,173.48,174.0,66054482.0,174.5857,1692244800000,673083,
172.3,175.1,171.96,174.49,60171878.0,173.8904,1692331200000,596474,
175.07,176.13,173.735,175.84,46161959.0,175.2221,1692590400000,559658,
177.06,177.68,176.25,177.23,42057245.0,177.0098,1692676800000,501508,
178.52,181.55,178.325,181.12,52722752.0,180.6482,1692763200000,587165,
180.674,181.104,176.01,176.38,54912798.0,177.7035,1692849600000,610377,
177.38,179.15,175.82,178.61,51439994.0,177.9075,1692936000000,554789,
180.09,180.59,178.545,180.19,43803238.0,179.6595,1693195200000,532485,
179.695,184.9,179.5,184.12,52953948.0,183.28,1693281600000,576465,
184.94,187.85,184.74,187.65,60803988.0,186.93,1693368000000,636448,
187.84,189.12,187.48,187.87,60794467.0,188.1489,1693454400000,554869,
189.485,189.92,188.28,189.46,45393903.0,189.0424,1693540800000,530273,
188.28,189.98,187.61,189.7,45280027.0,189.1084,1693886400000,602458,
188.4,188.85,181.47,182.91,81753366.0,183.786,1693972800000,880106,
175.18,178.21,173.54,177.56,112416703.0,176.7332,1694059200000,1210080,
178.35,180.239,177.79,178.18,65402066.0,179.0663,1694145600000,755389,
180.07,180.3,177.34,179.36,58953052.0,178.8465,1694404800000,722430,
179.49,180.13,174.82,176.3,90316192.0,176.7048,1694491200000,937419,
176.51,177.3,173.98,174.21,84267928.0,175.0352,1694577600000,835150,
174.0,176.1,173.58,175.74,60345757.0,175.3715,1694664000000,641017,
176.48,176.495,173.82,175.01,109259461.0,175.0843,1694750400000,729794,
176.48,179.38,176.17,177.97,67257573.0,177.8915,1695009600000,731278,
177.52,179.63,177.13,179.07,51826941.0,178.4293,1695096000000,524402,
179.26,179.695,175.4,175.49,58436181.0,176.9653,1695182400000,600225,
174.55,176.3,173.86,173.93,62449116.0,174.8619,1695268800000,631478,
174.67,177.079,174.05,174.79,56688985.0,175.4667,1695355200000,606168,
174.2,176.97,174.15,176.08,46172740.0,175.6665,1695614400000,564218,
174.82,175.2,171.66,171.96,64548945.0,172.7156,1695700800000,688340,
172.62,173.04,169.05,170.43,66920708.0,170.5335,1695787200000,707850,
